CNPJ,RAZAO_SOCIAL,ESFERA,UF,MUNICIPIO,UNIDADE,QTD_CONTRATACOES
45226214000119,MUNICIPIO DE PINDAMONHANGABA,M,São Paulo,Pindamonhangaba,PR 15,1
45352267000186,MUNICIPIO DE PONTAL,M,São Paulo,Pontal,PREFEITURA MUNICIPAL DE PONTAL - SP,1
45509650000103,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,M,São Paulo,Tietê,SAMAE SERVIÇO AUTÔNOMO MUNICIPAL DE ÁGUA E ESGOTO,1
46523130000100,MUNICIPIO DE ITAPECERICA DA SERRA,M,São Paulo,Itapecerica da Serra,Itapecerica da Serra,1
48813638000178,MUNICIPIO DE REGENTE FEIJO,M,São Paulo,Regente Feijó,Unidade Única,2
48962625000160,SAAE SERVICO AUTONOMO DE AGUA E ESGOTO DE JACAREI,M,São Paulo,Jacareí,SERVIÇO AUTONOMO AGUA E ESGOTO EM JACAREI,1
64037815000128,MUNICIPIO DE CAJATI,M,São Paulo,Cajati,SECRETARIA MUNICIPAL DE SAÚDE/FUNDO MUNICIPAL DE SAÚDE,1
75132860000188,MUNICIPIO DE ALVORADA DO SUL,M,Paraná,Alvorada do Sul,PREFEITURA MUNICIPAL DE ALVORADA DO SUL - PR,1
75443812000100,MUNICIPIO DE GUAPIRAMA,M,Paraná,Guapirama,PREFEITURA MUNICIPAL,1
76020452000105,MUNICIPIO DA LAPA,M,Paraná,Lapa,PREFEITURA MUNICIPAL DA LAPA - PR,1
76208867000107,MUNICIPIO DE CASCAVEL,M,Paraná,Cascavel,PREFEITURA MUNICIPAL DE CASCAVEL - PR,1
76285329000108,MUNICIPIO DE MANDAGUACU,M,Paraná,Mandaguaçu,PREFEITURA MUNICIPAL DE MANDAGUAÇU - PR,1
82916818000113,MUNICIPIO DE CRICIUMA,M,Santa Catarina,Criciúma,PREFEITURA MUNICIPAL DE CRICIÚMA - SC,1
83169623000110,MUNICIPIO DE JOINVILLE,M,Santa Catarina,Joinville,PREFEITURA MUNICIPAL DE JOINVILLE,1
88821079000162,MUNICIPIO DE RIO PARDO,M,Rio Grande do Sul,Rio Pardo,EXECUTIVO MUNICIPAL,1
