ID_INTERNO,CLIENTE,ID,NUMERO_COMPRA,ANO_COMPRA,SEQUENCIAL_COMPRA,ESTADO,UNIDADE,CNPJ,ORGAO,ESFERA,MUNICIPIO,VALOR_ESTIMADO,VALOR_HOMOLOGADO,DATA_PUBLICACAO,DATA_DISPUTA,MODALIDADE,MODO_DISPUTA,SITUACAO,SRP,LINK_PNCP,LINK_PORTAL,PORTAL
LDIG-6445D082266B,Air Liquide,0014/2026,0014,2026.0,32.0,Minas Gerais,Unidade Única,01615008000125,MUNICIPIO DE FREI LAGONEGRO,M,Frei Lagonegro,73463.81,,2026-08-12T18:05:28,2026-08-26T08:50:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/01615008000125/2026/32,https://app2.licitardigital.com.br/pesquisa/110291,LDIG
COMPRASGOV-EBFDFA87472F,Mercedes,24/2026,24,2026.0,31.0,Acre,PREFEIRURA MUNICIPAL DE CRUZEIRO DO SUL - AC,04012548000102,MUNICIPIO DE CRUZEIRO DO SUL,M,Cruzeiro do Sul,771800.0,,2026-08-12T15:31:07,2026-08-26T10:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/04012548000102/2026/31,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98010705000242026,COMPRASGOV
COMPRASGOV-EBFDFA87472F,Rodobens,24/2026,24,2026.0,31.0,Acre,PREFEIRURA MUNICIPAL DE CRUZEIRO DO SUL - AC,04012548000102,MUNICIPIO DE CRUZEIRO DO SUL,M,Cruzeiro do Sul,771800.0,,2026-08-12T15:31:07,2026-08-26T10:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/04012548000102/2026/31,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98010705000242026,COMPRASGOV
EMPRO-CC667CBC6D0D,Danfoss,3252/2026,3252,2026.0,223.0,São Paulo,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,04691691000178,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,M,São José do Rio Preto,5023533.07,,2026-08-13T08:45:04,2026-08-28T08:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/04691691000178/2026/223,https://compras.empro.com.br/,EMPRO
EMPRO-CC667CBC6D0D,ABB Brasil,3252/2026,3252,2026.0,223.0,São Paulo,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,04691691000178,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,M,São José do Rio Preto,5023533.07,,2026-08-13T08:45:04,2026-08-28T08:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/04691691000178/2026/223,https://compras.empro.com.br/,EMPRO
EMPRO-CC667CBC6D0D,Editais,3252/2026,3252,2026.0,223.0,São Paulo,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,04691691000178,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,M,São José do Rio Preto,5023533.07,,2026-08-13T08:45:04,2026-08-28T08:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/04691691000178/2026/223,https://compras.empro.com.br/,EMPRO
LICITANET-58D62C86F474,Divena,30/2026,30,2026.0,11.0,Goiás,FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA ALTA/GO,08288700000135,FUNDO MUNICIPAL DE SAUDE,M,Cachoeira Alta,1062223.17,,2026-08-14T13:50:43,2026-08-28T08:15:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/08288700000135/2026/11,https://licitanet.com.br/sessao/197855,LICITANET
LICITANET-58D62C86F474,Mercedes,30/2026,30,2026.0,11.0,Goiás,FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA ALTA/GO,08288700000135,FUNDO MUNICIPAL DE SAUDE,M,Cachoeira Alta,1062223.17,,2026-08-14T13:50:43,2026-08-28T08:15:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/08288700000135/2026/11,https://licitanet.com.br/sessao/197855,LICITANET
LICITANET-58D62C86F474,Rodobens,30/2026,30,2026.0,11.0,Goiás,FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA ALTA/GO,08288700000135,FUNDO MUNICIPAL DE SAUDE,M,Cachoeira Alta,1062223.17,,2026-08-14T13:50:43,2026-08-28T08:15:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/08288700000135/2026/11,https://licitanet.com.br/sessao/197855,LICITANET
COMPRASGOV-7CD32C1A8ADE,Starmac,9/2026,9,2026.0,60.0,Rio Grande do Norte,ERN - COMPANHIA DE ÁGUAS E ESGOTOS DO RN,08334385000135,COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE,N,Natal,0.0,,2026-07-28T09:36:12,2026-08-26T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/08334385000135/2026/60,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92577705000092026,COMPRASGOV
PBYX-8A9DDB36F078,Air Liquide,00047/2026 - SMS/2026,00047/2026 - SMS,2026.0,84.0,Paraíba,PREFEITURA MUNICIPAL DE BAYEUX,08924581000160,MUNICIPIO DE BAYEUX,M,Bayeux,0.0,,2026-08-14T08:54:16,2026-08-28T10:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/08924581000160/2026/84,http://www.portaldecomprasbayeux.com.br,PBYX
COMPRASGOV-05E34101367B,Air Liquide,81/2026,81,2026.0,44.0,Pernambuco,PREFEITURA MUNICIPAL DE BEZERROS,10091510000175,MUNICIPIO DE BEZERROS,M,Bezerros,785852.04,,2026-08-12T15:54:59,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/10091510000175/2026/44,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98233705000812026,COMPRASGOV
SC-7F23AD0F3B68,Air Liquide,PE 2/2026,PE 2,2026.0,17.0,Santa Catarina,FUNDO MUNICIPAL DE SAUDE DE CAPIVARI DE BAIXO,10971858000157,FUNDO MUNICIPAL DE SAUDE DE CAPIVARI DE BAIXO,M,Capivari de Baixo,1348500.0,,2026-08-14T12:59:28,2026-08-26T08:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/10971858000157/2026/17,,SC
None-FCE4DEC14927,Air Liquide,,,,,,,,,,,,,,,,,,,https://pncp.gov.br/app/editais/None/None/None,,
BLL-7E3E443FE8A0,Air Liquide,035/2026,035,2026.0,42.0,Mato Grosso do Sul,FESP - FUNDAÇÃO ESTATAL DE SAÚDE DO PANTANAL,11285282000137,FUNDACAO ESTATAL DE SAUDE DO PANTANAL,M,Coxim,0.0,,2026-08-12T11:08:55,2026-08-28T23:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/11285282000137/2026/42,https://bllcompras.com/Process/ProcessView?param1=[gkz]d7sMY53MDP2G4Na62IzMVMmnziVh0zpfcGRrbTaiv4OXVu1aa6aG4DqlJR4CRULG7HCcPA6VT0nQXM44yeWEI3q4Lxf6U7zHT/DRfk7alAE=,BLL
BNC-8AAD15A8EA4D,Air Liquide,PE 291/2026,PE 291,2026.0,154.0,Rio de Janeiro,FUNDO MUNICIPAL DE SAÚDE DE RESENDE - SUS,11800731000138,FUNDO MUNICIPAL DE SAUDE/SUS DO MUNICIPIO DE RESENDE,M,Resende,15400.0,,2026-08-12T10:27:23,2026-08-26T13:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/11800731000138/2026/154,https://bnccompras.com/Process/ProcessView?param1=[gkz]OwmdWaDb0j685whleQsDtVs1b86bdEvEsWSOlLFkWWHFGiV/LvpGsw0gn9qMtZvStDoYJhjtIMA4WOrAVLuK9uW62S02v7Uf6tIQL8YTRKI=,BNC
BNC-84EE1B3AE28C,Rodobens,012/2026,012,2026.0,19.0,Alagoas,PREFEITURA MUNICIPAL DE NOVO LINO - AL,12248878000120,MUNICIPIO DE NOVO LINO,M,Novo Lino,552283.33,,2026-08-12T12:11:33,2026-08-26T09:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/12248878000120/2026/19,https://bnccompras.com/Process/ProcessView?param1=[gkz]ZMVkrZD3XVJuEt_WN1SmnzAKc6MQXCQtaW2RAXJWyj7d5zjdvFvFSOiHvAsdyikMHf6lQqSg9kypupAQekYCRfdHnsDNfOWtKU5RttOrulQ=,BNC
BBNEW-9B8DC4995671,Mercedes,SP114/2026/2026,SP114/2026,2026.0,212.0,Bahia,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,13504675000110,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,N,Salvador,0.0,,2026-07-29T18:30:50,2026-08-31T08:30:00,Pregão - Eletrônico,Aberto,Suspensa,False,https://pncp.gov.br/app/editais/13504675000110/2026/212,https://licitacoes-e2.bb.com.br/aop-inter-estatico/visualizar-processo-publico/1097583,BBNEW
BBNEW-9B8DC4995671,Divena,SP114/2026/2026,SP114/2026,2026.0,212.0,Bahia,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,13504675000110,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,N,Salvador,0.0,,2026-07-29T18:30:50,2026-08-31T08:30:00,Pregão - Eletrônico,Aberto,Suspensa,False,https://pncp.gov.br/app/editais/13504675000110/2026/212,https://licitacoes-e2.bb.com.br/aop-inter-estatico/visualizar-processo-publico/1097583,BBNEW
BBNEW-9B8DC4995671,Rodobens,SP114/2026/2026,SP114/2026,2026.0,212.0,Bahia,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,13504675000110,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,N,Salvador,0.0,,2026-07-29T18:30:50,2026-08-31T08:30:00,Pregão - Eletrônico,Aberto,Suspensa,False,https://pncp.gov.br/app/editais/13504675000110/2026/212,https://licitacoes-e2.bb.com.br/aop-inter-estatico/visualizar-processo-publico/1097583,BBNEW
BLL-158A486AD9A4,Divena,PE 015/2026,PE 015,2026.0,134.0,Bahia,COMISSAO DE LICITACOES,13719646000175,MUNICIPIO DE ITABERABA,M,Itaberaba,11571015.0,,2026-07-23T10:35:43,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/13719646000175/2026/134,https://bllcompras.com/Process/ProcessView?param1=[gkz]cXM2M1XTkBZxOhjDXwRVOP9hA9p/EaYj1LJYD5CxhEpIopfQ_6R7/aTONeQmC1Tp4N5QxmQkNhM1IakDZsS4uszonxLC_tblRaKGXixIUwk=,BLL
